,tx_coord,best_tile_localization,distance_error,count
40,"(17, 58)","(14, 53)",5.830951894845301,1
76,"(17, 58)","(11, 59)",6.082762530298219,1
20,"(17, 58)","(13, 52)",7.211102550927978,28
7,"(17, 58)","(14, 65)",7.615773105863909,1
41,"(17, 58)","(12, 51)",8.602325267042627,10
13,"(17, 58)","(13, 66)",8.94427190999916,25
35,"(17, 58)","(11, 51)",9.219544457292887,6
109,"(17, 58)","(11, 50)",10.0,2
60,"(17, 58)","(12, 67)",10.295630140987,6
130,"(17, 58)","(12, 49)",10.295630140987,1
3,"(17, 58)","(10, 50)",10.63014581273465,253
36,"(17, 58)","(11, 67)",10.816653826391969,7
53,"(17, 58)","(11, 49)",10.816653826391969,2
28,"(17, 58)","(9, 50)",11.313708498984761,2
122,"(17, 58)","(10, 49)",11.40175425099138,1
59,"(17, 58)","(11, 68)",11.661903789690601,3
126,"(17, 58)","(9, 49)",12.041594578792296,1
49,"(17, 58)","(8, 50)",12.041594578792296,5
63,"(17, 58)","(12, 69)",12.083045973594572,1
99,"(17, 58)","(10, 48)",12.206555615733702,1
1,"(17, 58)","(10, 68)",12.206555615733702,194
54,"(17, 58)","(11, 47)",12.529964086141668,1
75,"(17, 58)","(9, 68)",12.806248474865697,3
24,"(17, 58)","(12, 70)",13.0,2
16,"(17, 58)","(10, 69)",13.038404810405298,3
123,"(17, 58)","(7, 49)",13.45362404707371,1
127,"(17, 58)","(9, 69)",13.601470508735444,1
11,"(17, 58)","(10, 46)",13.892443989449804,1
69,"(17, 58)","(16, 72)",14.035668847618199,1
18,"(17, 58)","(11, 45)",14.317821063276353,1
112,"(17, 58)","(10, 71)",14.7648230602334,1
81,"(17, 58)","(12, 72)",14.866068747318506,1
14,"(17, 58)","(6, 68)",14.866068747318506,1
98,"(17, 58)","(8, 70)",15.0,1
133,"(17, 58)","(13, 73)",15.524174696260024,1
110,"(17, 58)","(10, 72)",15.652475842498529,1
118,"(17, 58)","(12, 73)",15.811388300841896,1
102,"(17, 58)","(9, 72)",16.1245154965971,1
93,"(17, 58)","(6, 70)",16.278820596099706,1
44,"(17, 58)","(14, 74)",16.278820596099706,14
46,"(17, 58)","(4, 68)",16.401219466856727,3
111,"(17, 58)","(10, 73)",16.55294535724685,1
83,"(17, 58)","(11, 74)",17.08800749063506,1
45,"(17, 58)","(10, 42)",17.46424919657298,1
37,"(17, 58)","(12, 75)",17.72004514666935,34
108,"(17, 58)","(12, 41)",17.72004514666935,1
29,"(17, 58)","(11, 75)",18.027756377319946,3
107,"(17, 58)","(10, 75)",18.384776310850235,2
12,"(17, 58)","(6, 73)",18.601075237738275,1
137,"(17, 58)","(9, 75)",18.788294228055936,1
88,"(17, 58)","(11, 40)",18.973665961010276,1
21,"(17, 58)","(11, 76)",18.973665961010276,4
57,"(17, 58)","(10, 76)",19.313207915827967,4
135,"(17, 58)","(9, 76)",19.697715603592208,1
42,"(17, 58)","(10, 77)",20.248456731316587,6
84,"(17, 58)","(9, 77)",20.615528128088304,1
17,"(17, 58)","(9, 78)",21.540659228538015,9
5,"(17, 58)","(14, 36)",22.20360331117452,1
34,"(17, 58)","(13, 36)",22.360679774997898,1
55,"(17, 58)","(12, 36)",22.561028345356956,1
