location,corners,center,sensor_distances,calculated_RSSI,avg_RSSI,mode_RSSI,best_RSSI,is_emitter,score,hasSensor,localizationGuesses
"(0, 0)","((26.71333451697524, -80.05695531266622), (26.71333451697524, -80.05694524488342), (26.7133435101913, -80.05695531266622), (26.7133435101913, -80.05694524488342))","(26.713339013583273, -80.05695027877482)","{'57': 18.89173618000084, '20': 30.19410621215374, '05': 84.98782755394485, '34': 127.2172698574737, '22': 6.757804601133421, '06': 22.049240407631785, '31': 59.405898072789086, '36': 99.89844861120176, '35': 122.30933285018061}","{'57': -43.13999694386082, '20': -49.2495061332728, '05': -62.732542621342404, '34': -67.98822291628014, '22': -29.74600968673941, '06': -45.1536497618301, '31': -58.06672775330455, '36': -64.83860309598803, '35': -67.47562869911417}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 1)","((26.71333451697524, -80.05694524488342), (26.71333451697524, -80.05693517710063), (26.7133435101913, -80.05694524488342), (26.7133435101913, -80.05693517710063))","(26.713339013583273, -80.05694021099202)","{'57': 18.7846083333162, '20': 29.42076100484292, '05': 84.0068283972683, '34': 126.2237011595202, '22': 6.650076870666983, '06': 21.08676258762806, '31': 58.40910714705283, '36': 98.89732821496297, '35': 121.30785962017546}","{'57': -43.065905109332526, '20': -48.911457844218404, '05': -62.5812784395323, '34': -67.88606809614211, '22': -29.536640746007023, '06': -44.572138033410546, '31': -57.84625780840918, '36': -64.70737754998379, '35': -67.368508981534}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 2)","((26.71333451697524, -80.05693517710063), (26.71333451697524, -80.05692510931783), (26.7133435101913, -80.05693517710063), (26.7133435101913, -80.05692510931783))","(26.713339013583273, -80.05693014320923)","{'57': 18.730523755932897, '20': 28.661568376714854, '05': 83.02632593615041, '34': 125.23026357309087, '22': 6.692258157929531, '06': 20.128122315328998, '31': 57.412490515842414, '36': 97.896221679601, '35': 120.30639179641305}","{'57': -43.0283384286701, '20': -48.570839327290265, '05': -62.42831538214701, '34': -67.78311962035315, '22': -29.61902135460805, '06': -43.9659386682941, '31': -57.62203238149183, '36': -64.57481869482736, '35': -67.26050183264707}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 3)","((26.71333451697524, -80.05692510931783), (26.71333451697524, -80.05691504153504), (26.7133435101913, -80.05692510931783), (26.7133435101913, -80.05691504153504))","(26.713339013583273, -80.05692007542643)","{'57': 18.729941956028675, '20': 27.9176829458856, '05': 82.04633797508214, '34': 124.2369602450977, '22': 6.881592374322975, '06': 19.173895196741636, '31': 56.41605741632687, '36': 96.89512943493827, '35': 119.30492951492886}","{'57': -43.02793372603249, '20': -48.22822190413461, '05': -62.27361683161708, '34': -67.67936528485114, '22': -29.982509099695843, '06': -43.33315125748291, '31': -57.39392275941038, '36': -64.44089919694072, '35': -67.15159243566742}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 4)","((26.71333451697524, -80.05691504153504), (26.71333451697524, -80.05690497375224), (26.7133435101913, -80.05691504153504), (26.7133435101913, -80.05690497375224))","(26.713339013583273, -80.05691000764364)","{'57': 18.782867905385636, '20': 27.190361083930384, '05': 81.06688317413754, '34': 123.24379442079469, '22': 7.206490508668644, '06': 18.224774447721643, '31': 55.419817747227135, '36': 95.89405192836473, '35': 118.3034729164811}","{'57': -43.0646979083343, '20': -47.884290030735855, '05': -62.11714505391874, '34': -67.57479260729855, '22': -30.583555350380596, '06': -42.67170564506542, '31': -57.16179357801742, '36': -64.30559087468907, '35': -67.04176559987474}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 5)","((26.71333451697524, -80.05690497375224), (26.71333451697524, -80.05689490596944), (26.7133435101913, -80.05690497375224), (26.7133435101913, -80.05689490596944))","(26.713339013583273, -80.05689993986084)","{'57': 18.88885182858605, '20': 26.480967621793337, '05': 80.0879810980574, '34': 122.25076945101435, '22': 7.649698999820822, '06': 17.281601428766358, '31': 54.42378213131405, '36': 94.8929896264261, '35': 117.30202214672738}","{'57': -43.138007576349445, '20': -47.53985628988767, '05': -61.95886115698373, '34': -67.46938881909787, '22': -31.3611711874058, '06': -41.979360320154484, '31': -56.925502362781096, '36': -64.16886466307427, '35': -66.93100574793117}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 6)","((26.71333451697524, -80.05689490596944), (26.71333451697524, -80.05688483818665), (26.7133435101913, -80.05689490596944), (26.7133435101913, -80.05688483818665))","(26.713339013583273, -80.05688987207805)","{'57': 19.04700805023351, '20': 25.790981990708726, '05': 79.10965225968283, '34': 121.2578887976433, '22': 8.192037696167482, '06': 16.345405770974743, '31': 53.42796198108849, '36': 93.89194301544275, '35': 116.30057735609248}","{'57': -43.24664374145728, '20': -47.19587712697234, '05': -61.7987250459856, '34': -67.3631408569087, '22': -32.25359904306529, '06': -41.25371197034188, '31': -56.68489902879524, '36': -64.03069057642804, '35': -66.81929690262044}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 7)","((26.71333451697524, -80.05688483818665), (26.71333451697524, -80.05687477040385), (26.7133435101913, -80.05688483818665), (26.7133435101913, -80.05687477040385))","(26.713339013583273, -80.05687980429525)","{'57': 19.25605108734014, '20': 25.12200337372654, '05': 78.1319181951653, '34': 120.26515603397311, '22': 8.815229205287766, '06': 15.417458587184566, '31': 52.432369572757175, '36': 92.89091260256818, '35': 115.2991387005184}","{'57': -43.3888576652424, '20': -46.85346886892475, '05': -61.636695381521804, '34': -67.25603535327616, '22': -33.20884904793577, '06': -40.492224497250156, '31': -56.43982533699571, '36': -63.891037669172356, '35': -66.70662267311377}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 8)","((26.71333451697524, -80.05687477040385), (26.71333451697524, -80.05686470262106), (26.7133435101913, -80.05687477040385), (26.7133435101913, -80.05686470262106))","(26.713339013583273, -80.05686973651245)","{'57': 19.514345669413558, '20': 24.47575433884715, '05': 77.15480151340397, '34': 119.27257485247083, '22': 9.503380859092557, '06': 14.499343652855202, '31': 51.43701813133278, '36': 91.88989891729007, '35': 114.29770634115528}","{'57': -43.562460590279066, '20': -46.513923348032435, '05': -61.47272953128692, '34': -67.1480586276935, '22': -34.188184815157115, '06': -39.69229108032404, '31': -56.19011430243665, '36': -63.74987399452339, '35': -66.59296624051737}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
"(0, 9)","((26.71333451697524, -80.05686470262106), (26.71333451697524, -80.05685463483826), (26.7133435101913, -80.05686470262106), (26.7133435101913, -80.05685463483826))","(26.713339013583273, -80.05685966872966)","{'57': 19.81996634441586, '20': 23.854082312907963, '05': 76.17832597655324, '34': 118.28014907025072, '22': 10.243408958368425, '06': 13.593053410910215, '31': 50.4419219208519, '36': 90.88890251240147, '35': 113.29628044489174}","{'57': -43.764928161681446, '20': -46.178722186994364, '05': -61.306783524435, '34': -67.0391966770569, '22': -35.16517613671792, '06': -38.85135148199025, '31': -55.935589547670006, '36': -63.607166560865316, '35': -66.47831034288075}","{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",-99,-99,False,"{'57': -9999, '20': -9999, '05': -9999, '34': -9999, '22': -9999, '06': -9999, '31': -9999, '36': -9999, '35': -9999}",[],{}
