,x,ref_sensor,s57,s20,s54,s05,s34,s22,s06,s31,s36,s35
0,0.0,22,,,-60.0,-72.0,,,-59.0,-77.0,-80.0,
1,0.0,22,-51.0,-52.0,-64.0,-77.0,,-52.0,-62.0,-82.0,,
2,0.0,22,-60.0,-54.0,-52.0,-66.0,-77.0,-57.0,-55.0,-74.0,-78.0,-77.0
3,0.0,22,,-51.0,-58.0,,,-51.0,-63.0,-73.0,-79.0,-72.0
4,0.0,22,,-54.0,-71.0,-83.0,,-36.0,-60.0,-80.0,-77.0,
5,0.0,22,-59.0,-58.0,-60.0,-75.0,,-49.0,-60.0,-74.0,-74.0,-72.0
6,0.0,22,,,,-67.0,,,,-75.0,-75.0,-64.0
7,0.0,22,-61.0,-59.0,,,-83.0,-48.0,-57.0,,,-73.0
8,0.0,22,-57.0,,-54.0,-63.0,,-53.0,-53.0,-68.0,-73.0,-68.0
9,0.0,22,-57.0,-53.0,-66.0,-72.0,-84.0,-32.0,-62.0,-73.0,-78.0,-81.0
10,0.0,22,-50.0,-50.0,-62.0,-73.0,,-49.0,-57.0,-77.0,-76.0,-83.0
11,0.0,22,-47.0,-63.0,-53.0,-60.0,-75.0,-59.0,-55.0,-73.0,-81.0,
12,0.0,22,,-49.0,-64.0,-74.0,-83.0,-46.0,-57.0,-76.0,-73.0,-82.0
13,0.0,22,-48.0,-55.0,-66.0,-71.0,,-45.0,-55.0,-75.0,,-75.0
14,0.0,22,-46.0,-49.0,,,,-43.0,-57.0,,-74.0,
15,0.0,22,-48.0,-59.0,-58.0,-64.0,,-52.0,-54.0,-69.0,,-66.0
16,0.0,22,-39.0,-53.0,,,,-49.0,-63.0,,,
17,0.0,22,-58.0,-56.0,-55.0,,,-43.0,-61.0,-75.0,-72.0,-71.0
18,0.0,22,-60.0,-59.0,,,,-31.0,-53.0,-75.0,,
19,0.0,22,-67.0,-53.0,-58.0,-68.0,,-60.0,-60.0,,-73.0,-74.0
20,0.0,22,-52.0,,-65.0,,,-49.0,-57.0,-73.0,,
21,0.0,22,,-53.0,-61.0,,,-33.0,-59.0,,,
22,0.0,22,,-55.0,,,,,-64.0,,-82.0,
23,0.0,22,,,,,,-56.0,-68.0,,,
24,0.0,22,-47.0,-60.0,-53.0,,-76.0,-42.0,,-75.0,-73.0,
25,0.0,22,-51.0,,,-62.0,-75.0,,-59.0,-74.0,-75.0,
26,0.0,22,-67.0,,,,,-31.0,-52.0,-76.0,-79.0,
27,0.0,22,,-45.0,-55.0,-60.0,-78.0,-41.0,-58.0,-72.0,-72.0,
28,0.0,22,-63.0,-53.0,-72.0,-73.0,,,-64.0,,-82.0,-87.0
29,0.0,22,-57.0,-55.0,-64.0,-73.0,,-29.0,-58.0,-75.0,-80.0,
30,0.0,22,-63.0,-54.0,,,,-51.0,-59.0,,,-80.0
31,0.0,22,-40.0,-53.0,-60.0,-69.0,,-43.0,-61.0,-75.0,,-75.0
32,0.0,22,-39.0,-56.0,-65.0,-75.0,-76.0,-45.0,-70.0,-75.0,-71.0,
