tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label
"(7, 1)",,,-75.0,,-52.0,-65.0,-79.0,-77.0,-84.0,1191
"(7, 1)",,,-60.0,-68.0,-46.0,,-78.0,-71.0,,1191
"(7, 1)",-51.0,,-66.0,-75.0,-46.0,-53.0,-73.0,-70.0,-63.0,1191
"(7, 1)",,-78.0,-68.0,,-61.0,,-76.0,,,1191
"(7, 1)",,-49.0,-62.0,,-43.0,-58.0,-72.0,-66.0,,1191
"(7, 1)",-48.0,-72.0,-70.0,,-56.0,-60.0,-76.0,-79.0,-74.0,1191
"(7, 1)",,-64.0,,,-56.0,-51.0,-68.0,,,1191
"(7, 1)",,-63.0,-66.0,,,-60.0,-68.0,,-67.0,1191
"(7, 1)",,-60.0,,,-44.0,,,,,1191
"(7, 1)",-41.0,-54.0,-69.0,-71.0,-49.0,-54.0,-76.0,,-72.0,1191
"(7, 1)",-51.0,-51.0,-61.0,,-48.0,-53.0,,,-63.0,1191
"(7, 1)",-48.0,-61.0,,-79.0,-51.0,-59.0,-67.0,-69.0,,1191
"(7, 1)",-60.0,-73.0,-67.0,,-49.0,-65.0,-76.0,,,1191
"(7, 1)",,-65.0,-74.0,,-50.0,-65.0,-78.0,,-77.0,1191
"(7, 1)",-48.0,-64.0,,,-45.0,-65.0,,,,1191
"(7, 1)",,-73.0,-73.0,,,-63.0,-77.0,,-77.0,1191
"(7, 1)",-41.0,-51.0,,,-45.0,-64.0,-75.0,-69.0,-78.0,1191
"(7, 1)",-48.0,-63.0,-70.0,,-49.0,-60.0,-76.0,,-78.0,1191
"(7, 1)",,-63.0,-69.0,,,,-81.0,,-84.0,1191
"(7, 1)",-45.0,-45.0,-70.0,,-43.0,-51.0,-75.0,-73.0,,1191
"(7, 1)",-49.0,-68.0,-72.0,,-55.0,-53.0,-67.0,-72.0,-62.0,1191
"(7, 1)",-52.0,,-67.0,,,,-79.0,,-71.0,1191
"(7, 1)",-56.0,-66.0,-80.0,,-53.0,-60.0,-76.0,-74.0,-77.0,1191
"(7, 1)",-52.0,-70.0,-74.0,,-32.0,-63.0,-82.0,,,1191
"(7, 1)",-55.0,-68.0,,,-48.0,-60.0,,,,1191
"(7, 1)",-40.0,-45.0,-65.0,,-50.0,-55.0,-72.0,,,1191
"(7, 1)",-42.0,-58.0,-71.0,-73.0,-47.0,,-75.0,-75.0,-72.0,1191
"(7, 1)",-54.0,-64.0,,,-50.0,-63.0,,,,1191
"(7, 1)",-55.0,-65.0,,,,-64.0,-85.0,,,1191
"(7, 1)",,-65.0,,,-41.0,-60.0,,,,1191
"(7, 1)",,-57.0,-66.0,,-49.0,-52.0,-67.0,-73.0,-65.0,1191
"(7, 1)",-53.0,-69.0,-77.0,,-33.0,-62.0,-77.0,-83.0,,1191
"(7, 1)",-51.0,-59.0,-66.0,,-52.0,,-64.0,-66.0,-65.0,1191
"(7, 1)",,-57.0,-59.0,,-59.0,,,,-66.0,1191
"(7, 1)",,,,,-38.0,-64.0,,,,1191
"(7, 1)",-44.0,,-63.0,-78.0,,,-73.0,-75.0,-71.0,1191
"(7, 1)",-53.0,-71.0,-62.0,,-50.0,-51.0,,-62.0,,1191
"(7, 1)",-38.0,-51.0,-66.0,-80.0,,-56.0,,-71.0,-83.0,1191
