,x,ref_sensor,s57,s20,s05,s34,s22,s06,s31,s36,s35
0,0.0,22,,,-75.0,,-52.0,-65.0,-79.0,-77.0,-84.0
1,0.0,22,,,-60.0,-68.0,-46.0,,-78.0,-71.0,
2,0.0,22,-51.0,,-66.0,-75.0,-46.0,-53.0,-73.0,-70.0,-63.0
3,0.0,22,,-78.0,-68.0,,-61.0,,-76.0,,
4,0.0,22,,-49.0,-62.0,,-43.0,-58.0,-72.0,-66.0,
5,0.0,22,-48.0,-72.0,-70.0,,-56.0,-60.0,-76.0,-79.0,-74.0
6,0.0,22,,-64.0,,,-56.0,-51.0,-68.0,,
7,0.0,22,,-63.0,-66.0,,,-60.0,-68.0,,-67.0
8,0.0,22,,-60.0,,,-44.0,,,,
9,0.0,22,-41.0,-54.0,-69.0,-71.0,-49.0,-54.0,-76.0,,-72.0
10,0.0,22,-51.0,-51.0,-61.0,,-48.0,-53.0,,,-63.0
11,0.0,22,-48.0,-61.0,,-79.0,-51.0,-59.0,-67.0,-69.0,
12,0.0,22,-60.0,-73.0,-67.0,,-49.0,-65.0,-76.0,,
13,0.0,22,,-65.0,-74.0,,-50.0,-65.0,-78.0,,-77.0
14,0.0,22,-48.0,-64.0,,,-45.0,-65.0,,,
15,0.0,22,,-73.0,-73.0,,,-63.0,-77.0,,-77.0
16,0.0,22,-41.0,-51.0,,,-45.0,-64.0,-75.0,-69.0,-78.0
17,0.0,22,-48.0,-63.0,-70.0,,-49.0,-60.0,-76.0,,-78.0
18,0.0,22,,-63.0,-69.0,,,,-81.0,,-84.0
19,0.0,22,-45.0,-45.0,-70.0,,-43.0,-51.0,-75.0,-73.0,
20,0.0,22,-49.0,-68.0,-72.0,,-55.0,-53.0,-67.0,-72.0,-62.0
21,0.0,22,-52.0,,-67.0,,,,-79.0,,-71.0
22,0.0,22,-56.0,-66.0,-80.0,,-53.0,-60.0,-76.0,-74.0,-77.0
23,0.0,22,-52.0,-70.0,-74.0,,-32.0,-63.0,-82.0,,
24,0.0,22,-55.0,-68.0,,,-48.0,-60.0,,,
25,0.0,22,-40.0,-45.0,-65.0,,-50.0,-55.0,-72.0,,
26,0.0,22,-42.0,-58.0,-71.0,-73.0,-47.0,,-75.0,-75.0,-72.0
27,0.0,22,-54.0,-64.0,,,-50.0,-63.0,,,
28,0.0,22,-55.0,-65.0,,,,-64.0,-85.0,,
29,0.0,22,,-65.0,,,-41.0,-60.0,,,
30,0.0,22,,-57.0,-66.0,,-49.0,-52.0,-67.0,-73.0,-65.0
31,0.0,22,-53.0,-69.0,-77.0,,-33.0,-62.0,-77.0,-83.0,
32,0.0,22,-51.0,-59.0,-66.0,,-52.0,,-64.0,-66.0,-65.0
33,0.0,22,,-57.0,-59.0,,-59.0,,,,-66.0
34,0.0,22,,,,,-38.0,-64.0,,,
35,0.0,22,-44.0,,-63.0,-78.0,,,-73.0,-75.0,-71.0
36,0.0,22,-53.0,-71.0,-62.0,,-50.0,-51.0,,-62.0,
37,0.0,22,-38.0,-51.0,-66.0,-80.0,,-56.0,,-71.0,-83.0
38,0.0,22,-40.0,-44.0,-65.0,-81.0,-44.0,,-72.0,,-78.0
39,0.0,22,-42.0,,-68.0,,-49.0,-57.0,-70.0,-76.0,
40,0.0,22,-53.0,-54.0,-62.0,,-53.0,-55.0,-71.0,-67.0,-66.0
41,0.0,22,-61.0,-64.0,-79.0,,-48.0,-67.0,-83.0,,-81.0
42,0.0,22,,-48.0,,-79.0,,-54.0,-86.0,,
43,0.0,22,,-62.0,,,-45.0,,-70.0,,
44,0.0,22,-52.0,-71.0,-68.0,,-47.0,,-79.0,-77.0,-69.0
45,0.0,22,,,,,-35.0,-64.0,,,
46,0.0,22,-50.0,-58.0,-61.0,-79.0,-60.0,-58.0,-75.0,,-70.0
47,0.0,22,,,,,-36.0,,,,
48,0.0,22,-51.0,,,-77.0,-49.0,-54.0,-63.0,-65.0,-63.0
49,0.0,22,-63.0,,,,,-63.0,-75.0,,-73.0
50,0.0,22,-44.0,,,,-43.0,-57.0,-74.0,-70.0,-62.0
51,0.0,22,-55.0,-70.0,,,-32.0,-66.0,-74.0,,
52,0.0,22,,-51.0,-71.0,-76.0,-48.0,,-73.0,-65.0,-63.0
53,0.0,22,-50.0,-57.0,-61.0,-73.0,-51.0,-68.0,,-74.0,-70.0
54,0.0,22,-61.0,,,,-56.0,-58.0,,,
55,0.0,22,-44.0,-69.0,-82.0,,-50.0,-66.0,,-78.0,
56,0.0,22,,-70.0,-73.0,,-50.0,,,-79.0,-81.0
57,0.0,22,-44.0,,-66.0,-78.0,-47.0,-56.0,-72.0,-68.0,-64.0
58,0.0,22,-47.0,-72.0,-72.0,,-60.0,-64.0,-75.0,,-79.0
59,0.0,22,-51.0,-59.0,-68.0,-82.0,-44.0,-54.0,,-65.0,-62.0
60,0.0,22,-54.0,-61.0,-73.0,,-32.0,-64.0,-82.0,,
61,0.0,22,,-57.0,-72.0,,,-59.0,-74.0,,-78.0
62,0.0,22,,-64.0,,,-35.0,-64.0,-80.0,,-83.0
63,0.0,22,,-61.0,,,-44.0,,-71.0,,-67.0
64,0.0,22,-53.0,-64.0,,,-36.0,-61.0,-74.0,,
65,0.0,22,-55.0,-62.0,-77.0,,-40.0,-58.0,,,
66,0.0,22,-54.0,,-67.0,,-51.0,-57.0,,,-73.0
67,0.0,22,-41.0,-48.0,-65.0,-79.0,-47.0,-55.0,-71.0,-75.0,-70.0
68,0.0,22,-40.0,-57.0,-68.0,-75.0,-47.0,-63.0,-77.0,-72.0,
69,0.0,22,-40.0,-55.0,-77.0,-81.0,-53.0,-57.0,-73.0,-72.0,
70,0.0,22,-56.0,-59.0,-75.0,,-44.0,-62.0,-80.0,-78.0,-74.0
71,0.0,22,-53.0,-60.0,-65.0,,-52.0,,,-72.0,
72,0.0,22,,-55.0,-66.0,-74.0,-53.0,-56.0,-71.0,-74.0,-74.0
73,0.0,22,,-61.0,-68.0,,-52.0,,,-68.0,-63.0
74,0.0,22,,-63.0,,,-36.0,-62.0,,,
75,0.0,22,-51.0,-56.0,,,-51.0,-54.0,-67.0,,
76,0.0,22,-60.0,-63.0,-69.0,,-53.0,,-71.0,-81.0,-74.0
77,0.0,22,-58.0,-70.0,,,-35.0,-65.0,-74.0,,
78,0.0,22,-52.0,-58.0,-58.0,,,-53.0,-67.0,-65.0,-68.0
79,0.0,22,,,-62.0,,-49.0,,-68.0,-70.0,-73.0
80,0.0,22,-53.0,,-70.0,,-60.0,-60.0,,-63.0,-68.0
81,0.0,22,,,-65.0,-73.0,-43.0,-62.0,-70.0,-72.0,-79.0
82,0.0,22,-41.0,,,,-34.0,-61.0,,,
83,0.0,22,-52.0,-66.0,-75.0,,-50.0,-66.0,-83.0,-78.0,-81.0
84,0.0,22,-50.0,-68.0,,,-50.0,-67.0,,,-76.0
85,0.0,22,-43.0,-73.0,-86.0,,-53.0,-68.0,-75.0,-78.0,-79.0
86,0.0,22,-52.0,,-67.0,-83.0,-54.0,,-79.0,-74.0,-75.0
87,0.0,22,-36.0,-55.0,-73.0,-81.0,-39.0,-62.0,-75.0,-80.0,-86.0
88,0.0,22,-54.0,-66.0,-74.0,,-58.0,-60.0,-78.0,-79.0,
89,0.0,22,-51.0,,,,-52.0,-69.0,-85.0,,
90,0.0,22,-50.0,-59.0,,,-57.0,-65.0,,-73.0,-72.0
91,0.0,22,-43.0,,,,-53.0,-52.0,,,
92,0.0,22,-47.0,-68.0,,,-46.0,-62.0,-77.0,,-72.0
93,0.0,22,,-43.0,,,,,-73.0,,
94,0.0,22,-41.0,,-60.0,-76.0,,-56.0,-69.0,-68.0,-63.0
95,0.0,22,,,,,,-53.0,,,-64.0
96,0.0,22,,,,,,,-69.0,-70.0,
97,0.0,22,-45.0,-67.0,,,-49.0,-67.0,-76.0,,
98,0.0,22,,,-66.0,,,-58.0,-70.0,,-65.0
99,0.0,22,,-67.0,,-74.0,,,-71.0,-70.0,
100,0.0,22,-42.0,-53.0,-68.0,-77.0,-40.0,-54.0,-74.0,-68.0,-66.0
101,0.0,22,,-58.0,-77.0,,-33.0,-62.0,,-80.0,
102,0.0,22,,,-73.0,-87.0,,-66.0,,-83.0,
103,0.0,22,,,,,-50.0,-49.0,-67.0,,-68.0
104,0.0,22,-42.0,-63.0,-76.0,,-52.0,,-78.0,,
105,0.0,22,,,,-81.0,,,-77.0,,
106,0.0,22,-48.0,-65.0,-75.0,-80.0,-37.0,-63.0,-77.0,-80.0,
107,0.0,22,,-57.0,,,-46.0,,-80.0,,
108,0.0,22,-60.0,,,,,,,,
109,0.0,22,-52.0,,,,-46.0,,-66.0,,-67.0
110,0.0,22,-43.0,-55.0,-66.0,,-43.0,,,,-68.0
111,0.0,22,,-53.0,,,-54.0,,-69.0,-65.0,-68.0
112,0.0,22,,,,,,-53.0,,,-66.0
113,0.0,22,,,,,,-64.0,,,-79.0
114,0.0,22,-47.0,-72.0,-72.0,,,-65.0,-70.0,,-77.0
115,0.0,22,-47.0,-59.0,-63.0,,-50.0,-51.0,-69.0,-68.0,-67.0
116,0.0,22,-42.0,,,,-37.0,-65.0,,,
117,0.0,22,-61.0,,-75.0,,,-62.0,,,
118,0.0,22,-59.0,-61.0,,,-39.0,-66.0,,,
119,0.0,22,-55.0,-57.0,-62.0,-78.0,-48.0,-54.0,-74.0,-67.0,-67.0
120,0.0,22,-59.0,-63.0,-76.0,,-39.0,-59.0,-80.0,-79.0,-80.0
121,0.0,22,-47.0,-55.0,-67.0,-78.0,-48.0,-51.0,-65.0,-71.0,-65.0
122,0.0,22,-49.0,-61.0,-77.0,,-34.0,,-84.0,,
123,0.0,22,-42.0,-51.0,-71.0,-79.0,-50.0,-62.0,-73.0,-76.0,-67.0
124,0.0,22,-51.0,-51.0,,,-45.0,-59.0,-66.0,-66.0,-62.0
125,0.0,22,-44.0,-49.0,-70.0,,-39.0,-55.0,-73.0,-70.0,-68.0
126,0.0,22,-65.0,-63.0,,,-52.0,-59.0,,-73.0,
127,0.0,22,,-68.0,,,-45.0,-60.0,-76.0,,
128,0.0,22,-46.0,-67.0,,,-60.0,-62.0,,,
129,0.0,22,,-49.0,,,-45.0,-56.0,,-67.0,-62.0
130,0.0,22,-47.0,-59.0,-82.0,-80.0,-45.0,-58.0,-72.0,-68.0,-73.0
131,0.0,22,-52.0,,,,-48.0,,-65.0,-62.0,
132,0.0,22,,,,,,,,,-75.0
133,0.0,22,-44.0,,-76.0,,,,,-82.0,-72.0
134,0.0,22,-61.0,-60.0,-69.0,,-63.0,-63.0,-72.0,,-73.0
135,0.0,22,-36.0,-49.0,,,-43.0,-69.0,-74.0,-70.0,-81.0
136,0.0,22,,,-65.0,-79.0,,,-70.0,-70.0,-69.0
137,0.0,22,-56.0,-69.0,-68.0,,-52.0,-62.0,-73.0,-74.0,-71.0
138,0.0,22,,-67.0,,,-47.0,,-78.0,,-80.0
139,0.0,22,-54.0,-63.0,,,-54.0,-57.0,-75.0,,
140,0.0,22,,-57.0,,,-47.0,,-77.0,-71.0,
141,0.0,22,-43.0,-51.0,-69.0,-75.0,-41.0,,-70.0,-74.0,-79.0
142,0.0,22,,,,,-47.0,,-73.0,-76.0,
143,0.0,22,,,-66.0,,-63.0,,,-77.0,-74.0
144,0.0,22,,-66.0,-67.0,,-45.0,-64.0,-75.0,-81.0,-77.0
145,0.0,22,-46.0,-53.0,-61.0,-75.0,-44.0,-61.0,-63.0,-73.0,-70.0
146,0.0,22,-43.0,-49.0,-70.0,-78.0,,,-71.0,-74.0,-68.0
147,0.0,22,-48.0,-61.0,-65.0,,-50.0,,-71.0,,-63.0
148,0.0,22,,-69.0,-83.0,,-47.0,,-78.0,-83.0,-84.0
149,0.0,22,-50.0,-66.0,,,-49.0,-62.0,-75.0,,
150,0.0,22,-50.0,-68.0,,,-37.0,-64.0,,-72.0,-87.0
151,0.0,22,-63.0,-64.0,-71.0,,-62.0,-60.0,-76.0,,-78.0
152,0.0,22,-54.0,-55.0,-65.0,-75.0,-46.0,-55.0,-70.0,,-68.0
153,0.0,22,,-46.0,,,-45.0,,-69.0,,
154,0.0,22,-49.0,-66.0,-71.0,,-46.0,-72.0,-78.0,-75.0,
155,0.0,22,,-65.0,,,-35.0,-63.0,-83.0,,
156,0.0,22,-46.0,-58.0,-63.0,-80.0,,-54.0,-75.0,-66.0,-71.0
157,0.0,22,-48.0,,-75.0,,-46.0,,,-79.0,-81.0
158,0.0,22,,,,,-33.0,,-82.0,,-82.0
159,0.0,22,,-50.0,-56.0,,-50.0,-52.0,-65.0,-72.0,-64.0
160,0.0,22,-53.0,,-77.0,,-37.0,,-83.0,-84.0,-84.0
161,0.0,22,-41.0,,-71.0,,-45.0,-60.0,-79.0,-67.0,
162,0.0,22,,-49.0,,,,,,,-80.0
163,0.0,22,,,,,,,-79.0,-79.0,
164,0.0,22,-49.0,-61.0,-81.0,,-64.0,,-83.0,,-81.0
165,0.0,22,-44.0,,-73.0,,-49.0,-69.0,-78.0,,-74.0
166,0.0,22,-60.0,-58.0,-74.0,,-51.0,-59.0,-78.0,,-77.0
167,0.0,22,-35.0,,-65.0,,-45.0,-62.0,,-71.0,-80.0
168,0.0,22,-55.0,-63.0,-70.0,,,-65.0,-82.0,,-84.0
169,0.0,22,-52.0,,-77.0,,-40.0,,-78.0,-81.0,-77.0
170,0.0,22,,-64.0,,,-55.0,-60.0,-70.0,,
171,0.0,22,-50.0,-60.0,-58.0,,-48.0,-55.0,-71.0,,-62.0
172,0.0,22,-56.0,,,-78.0,-43.0,-57.0,-69.0,-66.0,-66.0
173,0.0,22,-64.0,-70.0,-71.0,,-52.0,-69.0,,,-81.0
174,0.0,22,-50.0,,,,-53.0,,-76.0,-76.0,-79.0
175,0.0,22,,-61.0,,,-32.0,-66.0,-77.0,,
176,0.0,22,-49.0,,,,-55.0,-66.0,-73.0,,
177,0.0,22,-44.0,-58.0,-69.0,-75.0,-48.0,,-67.0,-64.0,-64.0
178,0.0,22,-42.0,-51.0,,,-44.0,-52.0,-76.0,-71.0,-81.0
179,0.0,22,,-54.0,,,-52.0,-59.0,-76.0,,
180,0.0,22,,,-70.0,-79.0,,-53.0,,,-62.0
181,0.0,22,,,-61.0,,,-54.0,-65.0,,-68.0
182,0.0,22,-53.0,-68.0,,,-48.0,-63.0,,,
183,0.0,22,-64.0,,,,-43.0,,,,
184,0.0,22,,-65.0,,,-35.0,,-78.0,,-83.0
185,0.0,22,,-67.0,,,-36.0,-65.0,,,-86.0
186,0.0,22,-37.0,-49.0,-67.0,-77.0,-46.0,-64.0,-77.0,,
187,0.0,22,-44.0,-58.0,-62.0,-77.0,-44.0,,,-73.0,-71.0
188,0.0,22,,-66.0,,,-50.0,-64.0,,-72.0,
189,0.0,22,-52.0,-71.0,,,-45.0,-49.0,,-65.0,
190,0.0,22,-52.0,-65.0,-74.0,-82.0,-35.0,-63.0,-84.0,-82.0,-83.0
191,0.0,22,-51.0,-66.0,,,-63.0,,-75.0,,-73.0
192,0.0,22,-69.0,,-73.0,,-49.0,-67.0,-80.0,,
193,0.0,22,-43.0,,,-73.0,-45.0,-60.0,,-72.0,
194,0.0,22,-51.0,-71.0,-69.0,,-52.0,-64.0,-73.0,-83.0,-70.0
195,0.0,22,-67.0,,,,,,-74.0,,
196,0.0,22,-66.0,-61.0,-65.0,,-47.0,,,,-66.0
197,0.0,22,-52.0,,-74.0,,-47.0,-67.0,-85.0,-83.0,-88.0
198,0.0,22,-54.0,-62.0,-67.0,,-60.0,-67.0,-79.0,,-78.0
199,0.0,22,-51.0,-67.0,-79.0,,-52.0,-61.0,,,-80.0
200,0.0,22,-53.0,-65.0,-66.0,,-52.0,,-75.0,,-76.0
201,0.0,22,-40.0,-55.0,-71.0,-75.0,-56.0,-62.0,-74.0,-71.0,-81.0
202,0.0,22,,,,-79.0,,,,-68.0,
203,0.0,22,-62.0,,-73.0,,-56.0,,-80.0,,-79.0
204,0.0,22,-42.0,-42.0,-64.0,,-48.0,,-70.0,,-76.0
205,0.0,22,-55.0,-53.0,,,-45.0,-50.0,-73.0,,
206,0.0,22,-58.0,-67.0,-78.0,,-50.0,-64.0,-78.0,-76.0,-70.0
207,0.0,22,-44.0,,,,,-64.0,,,-75.0
208,0.0,22,-53.0,-63.0,-68.0,,-53.0,-60.0,-79.0,,-69.0
209,0.0,22,-58.0,-64.0,-68.0,,-63.0,,-79.0,,-75.0
210,0.0,22,,-63.0,-74.0,,-46.0,,-81.0,,-85.0
211,0.0,22,-53.0,-66.0,,,-56.0,-62.0,,,
212,0.0,22,-42.0,-53.0,-70.0,,-50.0,-57.0,-77.0,,-83.0
213,0.0,22,-40.0,-66.0,-78.0,-86.0,-37.0,-69.0,-74.0,,-87.0
214,0.0,22,-62.0,-62.0,-72.0,,-50.0,,-75.0,-71.0,-74.0
215,0.0,22,-52.0,-59.0,,,-49.0,,,,-73.0
