tx_coord,receiver_0,receiver_1,receiver_2,receiver_3,receiver_4,receiver_5,receiver_6,receiver_7,receiver_8,class_label,best_tile_localization,best_Localization_value
"(7, 1)",,,-75.0,,-52.0,-65.0,-79.0,-77.0,-84.0,1191,"(8, 11)",-31.910519622259777
"(7, 1)",,,-60.0,-68.0,-46.0,,-78.0,-71.0,,1191,"(7, 82)",-19.30645338669632
"(7, 1)",-51.0,,-66.0,-75.0,-46.0,-53.0,-73.0,-70.0,-63.0,1191,"(8, 11)",-13.518292006322323
"(7, 1)",,-78.0,-68.0,,-61.0,,-76.0,,,1191,"(8, 11)",-30.978239646270293
"(7, 1)",,-49.0,-62.0,,-43.0,-58.0,-72.0,-66.0,,1191,"(11, 30)",-13.702109271994473
"(7, 1)",-48.0,-72.0,-70.0,,-56.0,-60.0,-76.0,-79.0,-74.0,1191,"(12, 9)",-26.298191656585843
"(7, 1)",,-64.0,,,-56.0,-51.0,-68.0,,,1191,"(10, 14)",-23.528401212504814
"(7, 1)",,-63.0,-66.0,,,-60.0,-68.0,,-67.0,1191,"(11, 44)",-21.386725964702247
"(7, 1)",,-60.0,,,-44.0,,,,,1191,"(11, 10)",-23.056335682596835
"(7, 1)",-41.0,-54.0,-69.0,-71.0,-49.0,-54.0,-76.0,,-72.0,1191,"(12, 9)",-16.9396547833573
"(7, 1)",-51.0,-51.0,-61.0,,-48.0,-53.0,,,-63.0,1191,"(13, 14)",-8.88688190212964
"(7, 1)",-48.0,-61.0,,-79.0,-51.0,-59.0,-67.0,-69.0,,1191,"(12, 9)",-20.242067282522687
"(7, 1)",-60.0,-73.0,-67.0,,-49.0,-65.0,-76.0,,,1191,"(12, 9)",-28.393720923377916
"(7, 1)",,-65.0,-74.0,,-50.0,-65.0,-78.0,,-77.0,1191,"(8, 11)",-28.74792320275189
"(7, 1)",-48.0,-64.0,,,-45.0,-65.0,,,,1191,"(12, 9)",-28.66358004797177
"(7, 1)",,-73.0,-73.0,,,-63.0,-77.0,,-77.0,1191,"(7, 31)",-33.66608777738273
"(7, 1)",-41.0,-51.0,,,-45.0,-64.0,-75.0,-69.0,-78.0,1191,"(12, 9)",-21.41173270389328
"(7, 1)",-48.0,-63.0,-70.0,,-49.0,-60.0,-76.0,,-78.0,1191,"(12, 9)",-25.01349923745501
"(7, 1)",,-63.0,-69.0,,,,-81.0,,-84.0,1191,"(17, 33)",-36.56719533481017
"(7, 1)",-45.0,-45.0,-70.0,,-43.0,-51.0,-75.0,-73.0,,1191,"(12, 9)",-17.232200986779606
"(7, 1)",-49.0,-68.0,-72.0,,-55.0,-53.0,-67.0,-72.0,-62.0,1191,"(14, 11)",-16.730231590517427
"(7, 1)",-52.0,,-67.0,,,,-79.0,,-71.0,1191,"(15, 72)",-22.061592591634636
"(7, 1)",-56.0,-66.0,-80.0,,-53.0,-60.0,-76.0,-74.0,-77.0,1191,"(12, 9)",-27.605346659014543
"(7, 1)",-52.0,-70.0,-74.0,,-32.0,-63.0,-82.0,,,1191,"(12, 9)",-32.75197576638123
"(7, 1)",-55.0,-68.0,,,-48.0,-60.0,,,,1191,"(12, 9)",-28.243680165137775
"(7, 1)",-40.0,-45.0,-65.0,,-50.0,-55.0,-72.0,,,1191,"(16, 12)",-15.096798112521586
"(7, 1)",-42.0,-58.0,-71.0,-73.0,-47.0,,-75.0,-75.0,-72.0,1191,"(12, 9)",-19.619476953224602
"(7, 1)",-54.0,-64.0,,,-50.0,-63.0,,,,1191,"(12, 9)",-27.53034765827786
"(7, 1)",-55.0,-65.0,,,,-64.0,-85.0,,,1191,"(16, 12)",-36.141606307191985
"(7, 1)",,-65.0,,,-41.0,-60.0,,,,1191,"(8, 11)",-26.888130350565994
"(7, 1)",,-57.0,-66.0,,-49.0,-52.0,-67.0,-73.0,-65.0,1191,"(11, 30)",-15.405481525685891
"(7, 1)",-53.0,-69.0,-77.0,,-33.0,-62.0,-77.0,-83.0,,1191,"(12, 9)",-32.738340158840366
"(7, 1)",-51.0,-59.0,-66.0,,-52.0,,-64.0,-66.0,-65.0,1191,"(12, 31)",-11.93414951145864
"(7, 1)",,-57.0,-59.0,,-59.0,,,,-66.0,1191,"(13, 32)",-11.338226192379453
"(7, 1)",,,,,-38.0,-64.0,,,,1191,"(6, 11)",-29.13846306879896
"(7, 1)",-44.0,,-63.0,-78.0,,,-73.0,-75.0,-71.0,1191,"(7, 83)",-23.258924267714846
"(7, 1)",-53.0,-71.0,-62.0,,-50.0,-51.0,,-62.0,,1191,"(10, 12)",-13.947669064082751
"(7, 1)",-38.0,-51.0,-66.0,-80.0,,-56.0,,-71.0,-83.0,1191,"(16, 12)",-20.283249751873
"(7, 1)",-40.0,-44.0,-65.0,-81.0,-44.0,,-72.0,,-78.0,1191,"(12, 9)",-18.225369991023985
"(7, 1)",-42.0,,-68.0,,-49.0,-57.0,-70.0,-76.0,,1191,"(12, 9)",-20.453888266721076
"(7, 1)",-53.0,-54.0,-62.0,,-53.0,-55.0,-71.0,-67.0,-66.0,1191,"(11, 30)",-13.751527907301485
"(7, 1)",-61.0,-64.0,-79.0,,-48.0,-67.0,-83.0,,-81.0,1191,"(12, 9)",-33.82766459393237
"(7, 1)",,-48.0,,-79.0,,-54.0,-86.0,,,1191,"(11, 29)",-41.59917922657069
"(7, 1)",,-62.0,,,-45.0,,-70.0,,,1191,"(8, 11)",-24.871633150040466
"(7, 1)",-52.0,-71.0,-68.0,,-47.0,,-79.0,-77.0,-69.0,1191,"(12, 9)",-23.956452702552205
"(7, 1)",,,,,-35.0,-64.0,,,,1191,"(6, 11)",-29.13846306879896
"(7, 1)",-50.0,-58.0,-61.0,-79.0,-60.0,-58.0,-75.0,,-70.0,1191,"(16, 12)",-19.33380376002447
"(7, 1)",,,,,-36.0,,,,,1191,"(13, 9)",-1.1147523298925734
"(7, 1)",-51.0,,,-77.0,-49.0,-54.0,-63.0,-65.0,-63.0,1191,"(10, 12)",-11.190600620498186
"(7, 1)",-63.0,,,,,-63.0,-75.0,,-73.0,1191,"(11, 30)",-26.371346483632102
"(7, 1)",-44.0,,,,-43.0,-57.0,-74.0,-70.0,-62.0,1191,"(12, 9)",-13.622719788651489
"(7, 1)",-55.0,-70.0,,,-32.0,-66.0,-74.0,,,1191,"(12, 9)",-32.151117796817225
"(7, 1)",,-51.0,-71.0,-76.0,-48.0,,-73.0,-65.0,-63.0,1191,"(7, 77)",-16.26710350581453
"(7, 1)",-50.0,-57.0,-61.0,-73.0,-51.0,-68.0,,-74.0,-70.0,1191,"(15, 14)",-15.815742294907091
"(7, 1)",-61.0,,,,-56.0,-58.0,,,,1191,"(11, 10)",-24.14670739473945
