s1,s2,s3,s4,xcoord,ycoord,s1_d,s2_d,s3_d,s4_d
-44,-46,-24,-41,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-45,-47,-23,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-45,-48,-25,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-43,-47,-25,-41,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-45,-47,-23,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-48,-26,-41,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-45,-46,-25,-42,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-46,-48,-26,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-46,-47,-23,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-48,-24,-42,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-45,-48,-26,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-46,-47,-27,-44,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-45,-48,-24,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-47,-26,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-46,-23,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-45,-47,-23,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-47,-26,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-47,-24,-42,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-46,-47,-25,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-46,-26,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-46,-47,-22,-42,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-48,-26,-42,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-47,-26,-43,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-45,-47,-24,-44,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-43,-47,-27,-41,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-44,-46,-24,-42,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
-45,-46,-23,-42,0.0,1.0,14.0,20.518284528683193,1.0,15.033296378372908
