x,emitter,ref_sensor,sensor_x,rssi_x,sensor_y,rssi_y,sensor_z,rssi_z,distance_error
0.0,29.0,57.0,s57,-52.0,s20,-53.0,s22,-55.0,10.61980715229185
0.0,29.0,57.0,s57,-43.0,s06,-48.0,s22,-58.0,23.835464184848842
0.0,29.0,57.0,s06,-50.0,s57,-52.0,s54,-56.0,24.651817242171088
0.0,29.0,57.0,s57,-48.0,s22,-53.0,s06,-54.0,8.241340613641412
0.0,29.0,57.0,s57,-53.0,s22,-56.0,s05,-61.0,44.56443001747119
0.0,29.0,57.0,s06,-54.0,s22,-57.0,s57,-59.0,24.800189789767398
0.0,29.0,57.0,s57,-37.0,s06,-51.0,s22,-52.0,14.640248036364452
0.0,29.0,57.0,s06,-50.0,s57,-51.0,s20,-52.0,14.766160644229855
0.0,29.0,57.0,s57,-47.0,s06,-50.0,s22,-59.0,21.601490039655932
0.0,29.0,57.0,s20,-47.0,s57,-52.0,s06,-58.0,28.916192031004385
0.0,29.0,57.0,s57,-49.0,s06,-52.0,s20,-56.0,9.503047261004994
0.0,29.0,57.0,s57,-48.0,s20,-52.0,s22,-56.0,10.056305829733839
0.0,29.0,57.0,s57,-45.0,s54,-55.0,s20,-56.0,378.4010409902126
0.0,29.0,57.0,s57,-44.0,s06,-49.0,s22,-50.0,14.503662098095024
0.0,29.0,57.0,s57,-50.0,s20,-58.0,s22,-60.0,12.913416421767224
0.0,29.0,57.0,s22,-46.0,s57,-47.0,s06,-57.0,10.09180444750797
0.0,29.0,57.0,s57,-48.0,s20,-57.0,s54,-58.0,752.7318552172205
0.0,29.0,57.0,s57,-40.0,s22,-49.0,s06,-53.0,6.437082779519944
0.0,29.0,57.0,s06,-48.0,s20,-49.0,s22,-53.0,11.945345374352016
0.0,29.0,57.0,s57,-40.0,s06,-51.0,s20,-52.0,8.308399859545366
0.0,29.0,57.0,s20,-53.0,s22,-59.0,s54,-61.0,32.671135071925086
0.0,29.0,57.0,s57,-51.0,s20,-53.0,s06,-55.0,8.190837722187016
0.0,29.0,57.0,s57,-44.0,s06,-51.0,s22,-58.0,23.922536799048153
0.0,29.0,57.0,s57,-32.0,s22,-42.0,s06,-61.0,7.354526467827119
0.0,29.0,57.0,s57,-44.0,s06,-47.0,s22,-56.0,22.65154965348791
0.0,29.0,57.0,s22,-49.0,s57,-56.0,s06,-60.0,35.62477301055808
0.0,29.0,57.0,s06,-53.0,s57,-54.0,s22,-59.0,23.545432311610053
0.0,29.0,57.0,s57,-38.0,s06,-50.0,s22,-52.0,13.752794722378523
0.0,29.0,57.0,s06,-52.0,s57,-56.0,s20,-60.0,38.96287027925717
0.0,29.0,57.0,s06,-51.0,s22,-52.0,s57,-52.0,16.44189239514346
0.0,29.0,57.0,s20,-50.0,s57,-50.0,s22,-58.0,25.7343901285323
0.0,29.0,57.0,s06,-45.0,s57,-46.0,s20,-50.0,15.086236623039083
0.0,29.0,57.0,s57,-50.0,s22,-54.0,s06,-55.0,7.1240878741743145
0.0,29.0,57.0,s57,-39.0,s06,-49.0,s20,-56.0,11.01291902623687
0.0,29.0,57.0,s57,-43.0,s06,-50.0,s20,-50.0,9.749189283964855
0.0,29.0,57.0,s57,-49.0,s22,-58.0,s20,-60.0,28.057845391684413
0.0,29.0,57.0,s20,-46.0,s06,-50.0,s57,-51.0,13.789051717122067
0.0,29.0,57.0,s22,-55.0,s57,-58.0,s20,-61.0,26.31241829557301
0.0,29.0,57.0,s06,-49.0,s20,-52.0,s22,-54.0,13.747992305322018
0.0,29.0,57.0,s57,-35.0,s22,-49.0,s06,-57.0,3.904856225616371
0.0,29.0,57.0,s57,-44.0,s22,-48.0,s06,-51.0,9.056323294517897
0.0,29.0,57.0,s06,-47.0,s20,-52.0,s57,-57.0,15.517401513068158
0.0,29.0,57.0,s57,-33.0,s22,-49.0,s06,-58.0,5.136141865110562
0.0,29.0,57.0,s57,-44.0,s20,-51.0,s22,-54.0,11.761849274435487
0.0,29.0,57.0,s57,-43.0,s06,-49.0,s22,-59.0,22.00130131841555
0.0,29.0,57.0,s57,-33.0,s22,-47.0,s06,-61.0,7.2080799309160675
0.0,29.0,57.0,s06,-50.0,s20,-51.0,s54,-57.0,37.8849911718015
0.0,29.0,57.0,s57,-53.0,s20,-57.0,s22,-58.0,10.600444487499852
0.0,29.0,57.0,s57,-49.0,s06,-51.0,s20,-52.0,8.844161086858765
0.0,29.0,57.0,s57,-47.0,s22,-52.0,s20,-55.0,4.757215658120727
0.0,29.0,57.0,s06,-48.0,s57,-48.0,s20,-52.0,15.990875440284633
0.0,29.0,57.0,s22,-53.0,s06,-55.0,s57,-55.0,9.18660472560875
0.0,29.0,57.0,s22,-44.0,s57,-48.0,s06,-60.0,15.37120202938892
0.0,29.0,57.0,s57,-47.0,s06,-57.0,s22,-59.0,16.35437118853098
0.0,29.0,57.0,s06,-48.0,s57,-55.0,s22,-57.0,15.712684682995079
0.0,29.0,57.0,s57,-35.0,s22,-48.0,s06,-49.0,8.706320682644144
0.0,29.0,57.0,s57,-36.0,s06,-51.0,s22,-51.0,15.324478690553187
0.0,29.0,57.0,s57,-47.0,s06,-54.0,s22,-56.0,18.686983782427742
0.0,29.0,57.0,s57,-48.0,s20,-49.0,s06,-52.0,11.83706059177799
0.0,29.0,57.0,s57,-45.0,s06,-50.0,s22,-57.0,15.455141517302264
0.0,29.0,57.0,s22,-49.0,s57,-51.0,s06,-56.0,8.909374447259431
0.0,29.0,57.0,s57,-51.0,s22,-53.0,s06,-60.0,7.957253430263974
0.0,29.0,57.0,s57,-52.0,s06,-54.0,s22,-59.0,18.13596005823764
0.0,29.0,57.0,s06,-45.0,s57,-54.0,s20,-57.0,20.95717461649464
0.0,29.0,57.0,s57,-40.0,s06,-49.0,s22,-51.0,14.950885947290615
0.0,29.0,57.0,s06,-49.0,s20,-53.0,s57,-53.0,11.651484353663218
0.0,29.0,57.0,s22,-53.0,s57,-53.0,s06,-54.0,12.003516449408883
0.0,29.0,57.0,s57,-33.0,s22,-55.0,s06,-57.0,11.943119942866025
0.0,29.0,57.0,s57,-49.0,s06,-54.0,s22,-59.0,18.328399065457003
